Condition,Scale,Scale Label,Method,Final Objective,Iterations
Well-conditioned,10.0,1e+01,PALM,9905.158668179856,100
Well-conditioned,10.0,1e+01,FISTA-PALM,8715.790755727165,100
Well-conditioned,100.0,1e+02,PALM,913360.9961162981,100
Well-conditioned,100.0,1e+02,FISTA-PALM,817950.0373334835,100
Well-conditioned,1000.0,1e+03,PALM,85839099.9338792,100
Well-conditioned,1000.0,1e+03,FISTA-PALM,80415691.21430375,100
Well-conditioned,10000.0,1e+04,PALM,8559207874.142237,100
Well-conditioned,10000.0,1e+04,FISTA-PALM,8026059701.954699,100
Well-conditioned,100000.0,1e+05,PALM,856374471005.04,100
Well-conditioned,100000.0,1e+05,FISTA-PALM,802133556421.2275,100
Well-conditioned,1000000.0,1e+06,PALM,85721078107930.42,100
Well-conditioned,1000000.0,1e+06,FISTA-PALM,80299887415958.56,100
Ill-conditioned,10.0,1e+01,PALM,562.3576467078251,100
Ill-conditioned,10.0,1e+01,FISTA-PALM,270.0698159132081,100
Ill-conditioned,100.0,1e+02,PALM,33513.24618236024,100
Ill-conditioned,100.0,1e+02,FISTA-PALM,24360.008530999345,100
Ill-conditioned,1000.0,1e+03,PALM,2518096.0609759563,100
Ill-conditioned,1000.0,1e+03,FISTA-PALM,2355568.2090640264,100
Ill-conditioned,10000.0,1e+04,PALM,240893508.5293162,100
Ill-conditioned,10000.0,1e+04,FISTA-PALM,234327626.2127043,100
Ill-conditioned,100000.0,1e+05,PALM,24048986306.466934,100
Ill-conditioned,100000.0,1e+05,FISTA-PALM,23451828292.306126,100
Ill-conditioned,1000000.0,1e+06,PALM,2408235197257.5234,100
Ill-conditioned,1000000.0,1e+06,FISTA-PALM,2342897973371.7197,100
