Sparsity,Initialisation,Method,Final Objective,Iterations
10%,Random,PALM,7135.108552522935,100
10%,Random,iPALM,247.29140121924485,100
10%,Random,FISTA-PALM,6792.019716093744,100
10%,SVD,PALM,6260.659954106563,100
10%,SVD,iPALM,6224.236951935187,100
10%,SVD,FISTA-PALM,5269.590636652989,100
25%,Random,PALM,227.4849038005043,100
25%,Random,iPALM,221.94098969956806,100
25%,Random,FISTA-PALM,203.414124095191,100
25%,SVD,PALM,108.42702389366158,100
25%,SVD,iPALM,2461.089566802113,100
25%,SVD,FISTA-PALM,101.16728122207584,100
33%,Random,PALM,221.9973017692025,100
33%,Random,iPALM,1276.7475428290504,100
33%,Random,FISTA-PALM,145.57560046400067,100
33%,SVD,PALM,97.91015542611382,100
33%,SVD,iPALM,6509.008343029648,100
33%,SVD,FISTA-PALM,81.3217356082389,100
