Matrix,m,n,rank,Sparsity,Method,Final Objective,Iterations
"100x80, r=10",100,80,10,10%,PALM,6499.546108979056,100
"100x80, r=10",100,80,10,10%,iPALM,263.5404214847602,18
"100x80, r=10",100,80,10,10%,FISTA-PALM,6014.879169686616,100
"100x80, r=10",100,80,10,25%,PALM,325.90578682009067,100
"100x80, r=10",100,80,10,25%,iPALM,226.79063481800975,100
"100x80, r=10",100,80,10,25%,FISTA-PALM,186.318744829885,100
"100x80, r=10",100,80,10,33%,PALM,206.8731681229624,100
"100x80, r=10",100,80,10,33%,iPALM,897.4383044616045,100
"100x80, r=10",100,80,10,33%,FISTA-PALM,141.76301778114168,100
"500x200, r=50",500,200,50,10%,PALM,12533.408816805606,100
"500x200, r=50",500,200,50,10%,iPALM,16678.940418478138,100
"500x200, r=50",500,200,50,10%,FISTA-PALM,12324.73485081396,100
"500x200, r=50",500,200,50,25%,PALM,12866.672066785532,100
"500x200, r=50",500,200,50,25%,iPALM,14200.124995565997,100
"500x200, r=50",500,200,50,25%,FISTA-PALM,10794.984316452632,100
"500x200, r=50",500,200,50,33%,PALM,14407.483048348067,100
"500x200, r=50",500,200,50,33%,iPALM,15292.370470470369,100
"500x200, r=50",500,200,50,33%,FISTA-PALM,9474.16588611913,100
"1000x600, r=200",1000,600,200,10%,PALM,317052.50876449747,100
"1000x600, r=200",1000,600,200,10%,iPALM,403929.01255713875,100
"1000x600, r=200",1000,600,200,10%,FISTA-PALM,273060.7017942912,100
"1000x600, r=200",1000,600,200,25%,PALM,805222.2783678493,100
"1000x600, r=200",1000,600,200,25%,iPALM,640916.1887499571,100
"1000x600, r=200",1000,600,200,25%,FISTA-PALM,264497.0635136062,100
"1000x600, r=200",1000,600,200,33%,PALM,1147906.3637359927,100
"1000x600, r=200",1000,600,200,33%,iPALM,844328.2869542239,100
"1000x600, r=200",1000,600,200,33%,FISTA-PALM,256547.01794644367,100
