Matrix,m,n,rank,Sparsity,Method,Final Objective,Iterations,Runtime (s)
100x80,100,80,10,10%,PALM,7135.108552522935,100,0.013877292003598996
100x80,100,80,10,10%,iPALM,247.29140121924485,100,0.011043167003663257
100x80,100,80,10,10%,FISTA-PALM,6792.019716093744,100,0.010619165987009183
500x200,500,200,50,10%,PALM,12472.839041002382,100,0.06666854200011585
500x200,500,200,50,10%,iPALM,16521.348554525128,100,0.06528466600866523
500x200,500,200,50,10%,FISTA-PALM,12306.613062386574,100,0.06754366600944195
1000x600,1000,600,200,10%,PALM,320440.4284308308,100,0.9992913749883883
1000x600,1000,600,200,10%,iPALM,407954.1741137177,100,1.138479625005857
1000x600,1000,600,200,10%,FISTA-PALM,275233.12115850055,100,1.0126827089989092
100x80,100,80,10,25%,PALM,227.4849038005043,100,0.00966058298945427
100x80,100,80,10,25%,iPALM,221.94098969956806,100,0.010138041994650848
100x80,100,80,10,25%,FISTA-PALM,203.414124095191,100,0.00999700000102166
500x200,500,200,50,25%,PALM,13034.908916629485,100,0.06759395799599588
500x200,500,200,50,25%,iPALM,14533.828084850054,100,0.07114641700172797
500x200,500,200,50,25%,FISTA-PALM,11090.074996235258,100,0.07018733299628366
1000x600,1000,600,200,25%,PALM,804234.530059322,100,0.9935014160000719
1000x600,1000,600,200,25%,iPALM,646188.8707460511,100,1.1039946670061909
1000x600,1000,600,200,25%,FISTA-PALM,265780.3797996458,100,1.1740419999987353
100x80,100,80,10,33%,PALM,221.9973017692025,100,0.010100250001414679
100x80,100,80,10,33%,iPALM,1276.7475428290504,100,0.010849832993699238
100x80,100,80,10,33%,FISTA-PALM,145.57560046400067,100,0.010435499993036501
500x200,500,200,50,33%,PALM,14317.374510721904,100,0.0756062500004191
500x200,500,200,50,33%,iPALM,15516.760995316314,100,0.08008133400289807
500x200,500,200,50,33%,FISTA-PALM,9739.721403228234,100,0.07723462500143796
1000x600,1000,600,200,33%,PALM,1144004.256689537,100,1.0918838330107974
1000x600,1000,600,200,33%,iPALM,846732.0946832299,100,1.0630133340018801
1000x600,1000,600,200,33%,FISTA-PALM,256913.4748841367,100,1.059572666999884
